Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE81639360240153,Wed Feb 05 10:02:47 CET 2020,-17.73,EUR,Quas rerum enim ratione magni tempore ab saepe.
Jos,BE69771770897312,BE63375534421004,Sun Feb 02 16:11:12 CET 2020,-1030.65,EUR,Laudantium alias odio laboriosam.
Jos,BE69771770897312,BE87426789393135,Sun Feb 16 12:20:58 CET 2020,3461.69,EUR,Perspiciatis et ipsum sed vero.
Jos,BE69771770897312,BE36258097715463,Wed Feb 19 02:52:00 CET 2020,4219.06,EUR,Ut fugiat iusto at illum soluta quis repellat.
Jos,BE69771770897312,BE32320809042848,Wed Feb 19 12:56:34 CET 2020,3458.25,EUR,Cum occaecati eveniet at neque provident ullam.
Jos,BE69771770897312,BE53722272214991,Thu Feb 13 03:42:57 CET 2020,-4192.83,EUR,Ut totam quos.
Jos,BE69771770897312,BE19625295604437,Fri Feb 07 16:32:15 CET 2020,856.55,EUR,Aut rem rerum deserunt.
Jos,BE69771770897312,BE19509740578712,Wed Feb 05 23:52:13 CET 2020,-642.44,EUR,Quis et rerum.
Jos,BE69771770897312,BE80101838692533,Mon Jan 27 12:42:48 CET 2020,-492.37,EUR,Minus voluptas iure sapiente eum facere temporibus et.
Jos,BE69771770897312,BE92072317793894,Fri Feb 07 02:57:27 CET 2020,-3972.77,EUR,Ut et ea numquam.
Jos,BE69771770897312,BE45834889045967,Mon Feb 10 09:56:39 CET 2020,2969.92,EUR,Blanditiis facilis ipsa est.
Jos,BE69771770897312,BE78832582068668,Tue Feb 11 09:13:18 CET 2020,2893.14,EUR,Adipisci veniam corrupti dolores.
Jos,BE69771770897312,BE97730124301246,Wed Feb 19 04:22:51 CET 2020,2120.99,EUR,Doloribus incidunt inventore sint.
Jos,BE69771770897312,BE33829402281923,Sat Feb 15 09:03:36 CET 2020,2875.33,EUR,Quis nihil facilis et et repellendus et.
Jos,BE69771770897312,BE86564741825287,Wed Feb 19 06:25:46 CET 2020,-3735.45,EUR,Tempore non debitis officia.
Jos,BE69771770897312,BE31808005541130,Sun Feb 09 23:15:22 CET 2020,-4899.57,EUR,Non voluptate mollitia debitis dolor accusantium perspiciatis maiores.
Jos,BE69771770897312,BE56408307279764,Fri Feb 07 07:49:06 CET 2020,4265.18,EUR,Ratione earum rerum iure quas nam.
Jos,BE69771770897312,BE56418944808141,Mon Feb 03 23:40:52 CET 2020,3765.25,EUR,Unde ut id omnis rerum culpa sed.
Jos,BE69771770897312,BE83158786847242,Wed Feb 12 20:05:58 CET 2020,-949.7,EUR,Possimus suscipit velit.
Jos,BE69771770897312,BE26347882621582,Tue Feb 18 21:43:57 CET 2020,1473.98,EUR,Vel qui non quasi itaque molestias.
Jos,BE69771770897312,BE46297602052556,Tue Feb 11 00:24:24 CET 2020,477.18,EUR,Sed possimus aut molestiae tempora.
Jos,BE69771770897312,BE43966061379897,Tue Feb 18 09:12:41 CET 2020,-1929.7,EUR,Vero autem iste eius assumenda non.
Jos,BE69771770897312,BE79526734402810,Sun Feb 16 20:16:14 CET 2020,-4634.52,EUR,Vero ut cupiditate et et.
Jos,BE69771770897312,BE34691996318574,Wed Feb 19 11:16:31 CET 2020,47.99,EUR,Illum exercitationem nostrum ut.
Jos,BE69771770897312,BE47906959964742,Mon Feb 10 04:29:46 CET 2020,-1849.52,EUR,Id error temporibus explicabo similique.
Jos,BE69771770897312,BE97144013160916,Fri Jan 31 08:06:11 CET 2020,1112.31,EUR,Consequuntur quis voluptas architecto autem ut facere iste.
Jos,BE69771770897312,BE37746549230070,Wed Feb 19 13:07:52 CET 2020,-4512.56,EUR,In ex quia.
Jos,BE69771770897312,BE05561957274323,Sat Feb 01 19:42:37 CET 2020,3125.22,EUR,Illo eligendi voluptas reiciendis natus totam.
Jos,BE69771770897312,BE39967446806137,Mon Feb 17 20:19:54 CET 2020,-1836.84,EUR,Et minima quod aut fugit modi nulla.
Jos,BE69771770897312,BE83324684088722,Wed Feb 19 08:59:39 CET 2020,-1655.29,EUR,Autem saepe dolor quisquam amet officia cumque.
Jos,BE69771770897312,BE93130774357421,Thu Feb 06 02:02:50 CET 2020,2394.16,EUR,Sunt aliquid laudantium.
Jos,BE69771770897312,BE03682120137450,Sat Feb 15 14:09:25 CET 2020,4857.05,EUR,Officiis aut distinctio et enim ipsum odio sint.
Jos,BE69771770897312,BE88980761252332,Wed Feb 19 13:01:13 CET 2020,-1030.92,EUR,Voluptas rerum earum dolor vel velit.
Jos,BE69771770897312,BE64264822776466,Sun Feb 09 00:04:15 CET 2020,-4433.35,EUR,Provident cumque accusamus officiis qui.
Jos,BE69771770897312,BE45295428893092,Wed Feb 19 01:53:40 CET 2020,1883.11,EUR,Perferendis dignissimos tempore nihil consectetur sit quia consequuntur.
Jos,BE69771770897312,BE38461145015328,Tue Feb 11 19:00:33 CET 2020,-4348.99,EUR,Voluptas perferendis impedit cupiditate saepe debitis aliquid.
Jos,BE69771770897312,BE51359351517982,Wed Feb 05 13:30:28 CET 2020,3161.98,EUR,Sequi atque qui delectus pariatur tempore non commodi.
Jos,BE69771770897312,BE75406329875834,Tue Feb 18 02:29:36 CET 2020,-1288.22,EUR,Similique aut soluta.
Jos,BE69771770897312,BE09379811330068,Tue Feb 18 02:30:10 CET 2020,-3395.84,EUR,Est accusamus enim quam doloribus aut.
Jos,BE69771770897312,BE24373753848966,Tue Feb 18 12:03:30 CET 2020,-4728.47,EUR,Quis quos sed alias quia possimus.
Jos,BE69771770897312,BE81262773954673,Mon Feb 17 10:39:48 CET 2020,-1369.14,EUR,Nisi veniam in.
Jos,BE69771770897312,BE74021170812240,Thu Feb 13 22:03:35 CET 2020,1492.95,EUR,Soluta illo eius est.
Jos,BE69771770897312,BE70113449563613,Fri Feb 14 04:50:19 CET 2020,3131.06,EUR,Sit omnis harum fuga omnis.
Jos,BE69771770897312,BE66565785384724,Fri Feb 14 07:33:22 CET 2020,-4367.48,EUR,Optio suscipit ex.
Jos,BE69771770897312,BE13882125568193,Thu Feb 06 22:01:51 CET 2020,-2596.84,EUR,Commodi quo et explicabo.
Jos,BE69771770897312,BE05684637112717,Sat Jan 25 13:33:33 CET 2020,883.36,EUR,Quae vitae quis quia quia ea.
Jos,BE69771770897312,BE32415406214235,Mon Feb 17 10:41:22 CET 2020,-1057.19,EUR,Quis sit facilis assumenda.
Jos,BE69771770897312,BE80414517665047,Sat Jan 25 01:30:56 CET 2020,3231.45,EUR,Dolores voluptates fuga nemo.
Jos,BE69771770897312,BE15910115877390,Fri Jan 31 19:31:40 CET 2020,-1242.3,EUR,Hic temporibus nihil doloribus et ut.
Jos,BE69771770897312,BE52752950853828,Wed Feb 12 10:37:01 CET 2020,2593.69,EUR,Sint in assumenda numquam aperiam reprehenderit.
Jos,BE69771770897312,BE93852531807362,Sat Feb 15 01:17:24 CET 2020,-3036.64,EUR,Molestiae odio fuga dolor adipisci est.
Jos,BE69771770897312,BE54147286439785,Mon Feb 17 10:59:05 CET 2020,471.35,EUR,Eius odio quis sed totam.
Jos,BE69771770897312,BE17028322748008,Mon Feb 10 11:25:15 CET 2020,-1567.93,EUR,In rerum corrupti sit illum voluptas saepe.
